householdid,productid,storeid,transactiontime,daydate,productdesc,productsubdesc,salesvalue,displayadtypedesc
741,999730,315,5:56 PM,Oct 5,SOUP,DRY SOUP,1.29,Other Location Display
788,1108131,360,11:13 AM,Oct 18,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2.09,Other Location Display
692,1098066,335,3:48 PM,Jun 14,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,2.64,Other Location Display
740,898212,404,10:57 AM,Aug 23,BAG SNACKS,TORTILLA/NACHO CHIPS,1.69,Other Location Display
631,942475,389,4:40 PM,Jun 28,COFFEE,GROUND COFFEE,5,In-Shelf
647,8090521,438,7:43 PM,Mar 22,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,7.5,In-Aisle
761,913785,343,1:07 PM,Nov 19,CONDIMENTS/SAUCES,CATSUP,1,Rear End Cap
661,1138292,427,7:41 PM,Nov 22,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,3.73,Other Location Display
761,1106523,343,9:30 PM,Jan 31,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,3.34,Front End Cap
661,1138292,427,3:24 PM,Feb 14,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,3.54,Other Location Display
631,1098066,389,12:20 PM,Mar 15,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,0.99,In-Aisle
768,9526410,323,4:23 PM,Apr 18,BAG SNACKS,POTATO CHIPS,2,In-Aisle
761,862732,343,10:42 PM,May 10,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,0.88,In-Aisle
718,859010,324,6:31 PM,Sep 3,BAG SNACKS,TORTILLA/NACHO CHIPS,1.88,Side-Aisle End Cap
696,1126899,31742,8:16 PM,Aug 10,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,4.76,Front End Cap
706,985893,343,7:48 PM,Oct 27,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1.99,Front Aisle
733,5569471,356,3:05 PM,Apr 13,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,12.5,In-Aisle
766,994825,322,4:50 PM,May 15,BEERS/ALES,BEERALEMALT LIQUORS,6.49,Side-Aisle End Cap
718,981760,324,3:53 PM,May 15,EGGS,EGGS - X-LARGE,1.3,Side-Aisle End Cap
661,1124729,427,1:38 AM,Jun 3,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0.3,In-Aisle
768,871440,323,6:16 AM,Sep 18,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,2,Front End Cap
699,12577433,408,7:05 PM,Oct 27,CRACKERS/MISC BKD FD,MULTI-PACK CRACKERS,2,Side-Aisle End Cap
786,1133018,339,10:26 AM,Oct 12,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1.79,Other Location Display
771,982960,359,11:07 AM,Aug 31,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,1.2,In-Shelf
718,883404,324,6:53 PM,Jul 12,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,2.4,Other Location Display
761,1042438,343,11:38 AM,Jul 13,COOKIES/CONES,SANDWICH COOKIES,2,Rear End Cap
762,9854913,31862,8:01 AM,Jan 20,DIETARY AID PRODUCTS,DIET CNTRL BARS NUTRITIONAL,0.84,Side-Aisle End Cap
787,5569230,389,11:21 AM,Apr 16,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,8,Rear Aisle
718,1019883,324,8:03 PM,Apr 12,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,2,Rear End Cap
699,966684,408,1:14 PM,Nov 13,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,4.5,In-Aisle
706,1089381,32004,6:41 PM,Feb 6,BAG SNACKS,PRETZELS,1,Front Aisle
718,956609,324,10:32 AM,Apr 8,BEANS - CANNED GLASS & MW,PREPARED BEANS - BAKED W/PORK,2,Rear Aisle
718,877662,324,6:05 PM,Dec 31,POPCORN,POPCORN - MICROWAVE,2.99,Front End Cap
788,12172355,360,12:33 PM,Mar 17,CANDY - PACKAGED,CANDY BARS (MULTI PACK),1,Other Location Display
740,981760,404,7:43 PM,May 31,EGGS,EGGS - X-LARGE,0.79,In-Aisle
605,965772,369,10:30 AM,Sep 26,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,7,Mid-Aisle End Cap
725,13190673,400,4:34 PM,Aug 13,CANDY - PACKAGED,CANDY BARS (SINGLES)(INCLUDING,0.66,Front Aisle
605,15596705,369,7:10 PM,Nov 14,COLD CEREAL,KIDS CEREAL,2.77,Rear End Cap
788,930917,360,12:47 PM,May 13,MEAT - SHELF STABLE,PASTA: CANNED,1,In-Shelf
761,881859,343,6:07 PM,Aug 6,BABY HBC,BABY WIPES,5.99,Rear End Cap
768,9837544,323,8:53 AM,Jul 8,CHRISTMAS  SEASONAL,SEASONAL CANDY BAGS-CHOCOLATE,1,Front Aisle
607,9837074,372,6:39 PM,Sep 9,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0.34,Front Aisle
661,1138292,427,4:17 PM,Nov 18,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,3.73,Other Location Display
647,968057,343,9:14 PM,Nov 24,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,1,Rear End Cap
762,948891,391,8:58 PM,Apr 7,DRIED FRUIT,DRIED FRUIT - OTHER,2.99,Side-Aisle End Cap
661,1138292,427,10:54 AM,Feb 10,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,3.54,Other Location Display
762,15597009,31862,12:50 PM,Apr 21,COLD CEREAL,ALL FAMILY CEREAL,2,Rear End Cap
762,938319,31862,6:03 PM,Oct 2,FROZEN MEAT,FRZN BURGERS/BBQ/MEATBALL,3.29,Rear Aisle
779,1092933,343,9:24 PM,Jul 23,DOMESTIC WINE,POPULAR 750ML WINES,5.99,Other Location Display
762,1135295,391,8:08 PM,Sep 15,DOMESTIC WINE,FIGHTING VARIETAL WINES,5.99,Side-Aisle End Cap
696,7466952,31742,4:59 PM,Aug 4,MARGARINES,MARGARINE: TUBS AND BOWLS,1.39,Rear Aisle
718,911609,324,4:06 PM,Jun 16,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,3.74,Rear End Cap
766,976511,333,3:06 PM,Aug 7,POPCORN,POPCORN - MICROWAVE,1,Rear End Cap
715,1038217,389,8:16 PM,Nov 29,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,Front End Cap
722,10204279,359,4:20 PM,May 20,SOAP - LIQUID & BAR,LIQUID SOAP,3.79,Front Aisle
