householdid,productid,storeid,transactiontime,daydate,qty,salesvalue,productdesc,productsubdesc,loyaltydiscount,coupondiscount,couponmatchdiscount
696,1101980,31742,1:11 AM,Apr 27,3,5,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,-2.17,0,0
715,1033615,354,12:12 PM,Apr 26,1,0.99,REFRGRATD JUICES/DRNKS,DAIRY CASE FRUIT DRINKS (NO JU,0,0,0
766,8090532,322,5:25 PM,Jun 10,1,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,-2.09,0,0
696,7410342,31742,3:24 PM,Jun 25,2,2,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,-0.58,0,0
718,1131974,324,6:27 PM,Sep 2,1,1.31,BAKED BREAD/BUNS/ROLLS,DINNER ROLLS,-0.08,0,0
786,1022956,339,8:53 AM,Jan 19,1,0.82,ELECTRICAL SUPPPLIES,INSIDE FROST BULBS,-0.27,0,0
768,845705,323,6:28 AM,Mar 25,1,1.34,REFRGRATD DOUGH PRODUCTS,REFRIGERATED SPECILATY ROLLS,-0.65,0,0
718,965378,324,12:15 PM,Nov 19,1,2.07,COOKIES/CONES,CONES,-0.22,0,0
788,994928,360,6:35 PM,Mar 4,1,0.34,EGGS,EGGS - MEDIUM,-0.4,0,0
788,1095700,360,6:35 PM,Mar 4,1,0.99,DINNER SAUSAGE,SMOKED/COOKED,-1,0,0
725,892008,400,11:49 AM,Mar 5,2,2,MEAT - SHELF STABLE,PASTA: CANNED,0,0,0
718,859075,324,2:04 PM,Feb 8,3,4.95,CHEESE,SHREDDED CHEESE,-0.39,0,0
696,1131550,31742,8:55 PM,Jul 13,2,2,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,-0.16,0,0
731,9527160,329,3:42 PM,May 28,1,2.14,BAG SNACKS,POTATO CHIPS,0,0,0
766,8090532,322,1:18 PM,Jun 16,1,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,-2.09,0,0
696,12604354,31742,11:36 AM,Sep 26,1,0.97,CHRISTMAS  SEASONAL,TREE STANDS,-0.32,0,0
718,9858748,324,9:53 AM,Oct 23,1,0.34,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,0,0,0
718,883404,324,5:08 PM,Jul 20,2,2.42,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,-0.16,0,0
764,13190340,33923,9:22 AM,Jan 17,1,1,CANDY - PACKAGED,EASTER GIFTWARE/DECOR,-0.29,0,0
