,householdid,productid,weeknum,salesvalue,productdesc,productsubdesc,qty,cartid,storeid,daynum,transactiontime,displayadtypedesc,loyaltydiscount,coupondiscount,couponmatchdiscount
0,733,5569471,15,12.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,5,28197572355,356,102,1505,In-Aisle,-10.95,-2.5,0.0
1,788,930917,20,1.0,MEAT - SHELF STABLE,PASTA: CANNED,1,28648295674,360,132,1247,In-Shelf,-0.39,0.0,0.0
2,741,999730,40,1.29,SOUP,DRY SOUP,1,31114348300,315,277,1756,Other Location Display,-0.3,0.0,0.0
3,788,1108131,42,2.09,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,31281055364,360,290,1113,Other Location Display,0.0,0.0,0.0
4,692,1098066,24,2.64,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,3,29157441914,335,164,1548,Other Location Display,-0.33,0.0,0.0
5,768,9837544,28,1.0,CHRISTMAS  SEASONAL,SEASONAL CANDY BAGS-CHOCOLATE,3,29528195292,323,188,0853,Front Aisle,-1.07,0.0,0.0
6,762,9854913,56,0.84,DIETARY AID PRODUCTS,DIET CNTRL BARS NUTRITIONAL,1,32704370065,31862,384,0801,Side-Aisle End Cap,-0.85,0.0,0.0
7,787,5569230,68,8.0,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2,33983655676,389,470,1121,Rear Aisle,-1.38,0.0,0.0
8,718,1019883,67,2.0,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,2,33920382964,324,466,2003,Rear End Cap,-3.98,0.0,0.0
9,699,966684,46,4.5,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,1,31711110794,408,316,1314,In-Aisle,-2.49,0.0,0.0
10,761,913785,47,1.0,CONDIMENTS/SAUCES,CATSUP,1,31789451792,343,322,1307,Rear End Cap,-0.62,0.0,0.0
11,661,1138292,47,3.73,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,31832753125,427,325,1941,Other Location Display,-0.42,0.0,0.0
12,706,1089381,58,1.0,BAG SNACKS,PRETZELS,1,32932137029,32004,401,1841,Front Aisle,0.0,0.0,0.0
13,718,956609,67,2.0,BEANS - CANNED GLASS & MW,PREPARED BEANS - BAKED W/PORK,6,33848860332,324,462,1032,Rear Aisle,-3.34,0.0,0.0
14,661,1138292,59,3.54,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,33040781680,427,409,1524,Other Location Display,-0.39,0.0,0.0
15,631,1098066,63,0.99,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,1,33433361477,389,438,1220,In-Aisle,-0.3,0.0,0.0
16,762,15597009,69,2.0,COLD CEREAL,ALL FAMILY CEREAL,1,34044930720,31862,475,1250,Rear End Cap,-1.18,0.0,0.0
17,762,938319,92,3.29,FROZEN MEAT,FRZN BURGERS/BBQ/MEATBALL,1,41337817353,31862,639,1803,Rear Aisle,-0.3,0.0,0.0
18,779,1092933,82,5.99,DOMESTIC WINE,POPULAR 750ML WINES,1,40315020760,343,568,2124,Other Location Display,0.0,0.0,0.0
19,762,1135295,90,5.99,DOMESTIC WINE,FIGHTING VARIETAL WINES,1,41008638022,391,622,2008,Side-Aisle End Cap,0.0,0.0,0.0
20,740,981760,74,0.79,EGGS,EGGS - X-LARGE,1,35145882730,404,515,1943,In-Aisle,-0.19,0.0,0.0
21,605,965772,91,7.0,SOFT DRINKS,SFT DRNK MLT-PK BTL CARB (EXCP,2,41259926676,369,633,1030,Mid-Aisle End Cap,-1.58,0.0,0.0
22,718,859010,88,1.88,BAG SNACKS,TORTILLA/NACHO CHIPS,1,40827018158,324,610,1831,Side-Aisle End Cap,-0.71,0.0,0.0
23,696,1126899,84,4.76,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2,40532917953,31742,586,2016,Front End Cap,-0.82,0.0,0.0
24,766,994825,20,6.49,BEERS/ALES,BEERALEMALT LIQUORS,1,28675981053,322,134,1650,Side-Aisle End Cap,0.0,0.0,0.0
25,718,981760,20,1.3,EGGS,EGGS - X-LARGE,1,28676021515,324,134,1553,Side-Aisle End Cap,-0.09,0.0,0.0
26,761,881859,32,5.99,BABY HBC,BABY WIPES,1,30106374438,343,217,1807,Rear End Cap,-1.0,0.0,0.0
27,740,898212,34,1.69,BAG SNACKS,TORTILLA/NACHO CHIPS,1,30532405532,404,234,1057,Other Location Display,0.0,0.0,0.0
28,631,942475,26,5.0,COFFEE,GROUND COFFEE,3,29353042389,389,178,1640,In-Shelf,-4.87,0.0,0.0
29,647,8090521,64,7.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,3,33506958059,438,445,1943,In-Aisle,-6.27,0.0,0.0
30,647,968057,47,1.0,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,1,31834466635,343,327,2114,Rear End Cap,0.0,0.0,0.0
31,762,948891,67,2.99,DRIED FRUIT,DRIED FRUIT - OTHER,1,33836758189,391,461,2058,Side-Aisle End Cap,0.0,0.0,0.0
32,661,1138292,59,3.54,SOFT DRINKS,SOFT DRINKS 20PK&24PK CAN CARB,1,32989760479,427,405,1054,Other Location Display,-0.39,0.0,0.0
33,718,877662,53,2.99,POPCORN,POPCORN - MICROWAVE,1,32408296394,324,364,1805,Front End Cap,0.0,0.0,0.0
34,788,12172355,64,1.0,CANDY - PACKAGED,CANDY BARS (MULTI PACK),1,33472785674,360,440,1233,Other Location Display,-0.49,0.0,0.0
35,696,7466952,84,1.39,MARGARINES,MARGARINE: TUBS AND BOWLS,1,40460241609,31742,580,1659,Rear Aisle,0.0,0.0,0.0
36,718,911609,77,3.74,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,1,35701671732,324,531,1606,Rear End Cap,0.0,0.0,0.0
37,766,976511,84,1.0,POPCORN,POPCORN - MICROWAVE,1,40496701777,333,583,1506,Rear End Cap,-0.19,0.0,0.0
38,605,15596705,98,2.77,COLD CEREAL,KIDS CEREAL,1,41904746352,369,682,1910,Rear End Cap,-3.02,0.0,0.0
39,715,1038217,100,1.0,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,42097813452,389,697,2016,Front End Cap,-0.39,0.0,0.0
40,661,1124729,23,0.3,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,28970350011,427,153,0138,In-Aisle,-0.3,0.0,0.0
41,768,871440,38,2.0,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,2,30883465070,323,260,0616,Front End Cap,-1.18,0.0,0.0
42,699,12577433,43,2.0,CRACKERS/MISC BKD FD,MULTI-PACK CRACKERS,1,31412526637,408,299,1905,Side-Aisle End Cap,-0.29,0.0,0.0
43,786,1133018,41,1.79,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,31198020407,339,284,1026,Other Location Display,-0.2,0.0,0.0
44,771,982960,35,1.2,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,2,30628445661,359,242,1107,In-Shelf,-1.18,0.0,0.0
45,718,883404,28,2.4,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,2,29671812530,324,192,1853,Other Location Display,-0.18,0.0,0.0
46,761,1042438,28,2.0,COOKIES/CONES,SANDWICH COOKIES,1,29672446613,343,193,1138,Rear End Cap,-0.68,0.0,0.0
