age,user_id,annual_income,purchase_amount,loyalty_score,purchase_frequency
22,4.0,30000.0,150.0,3.0,10.0
23,16.0,31000.0,160.0,3.2,11.0
24,134.0,32000.0,170.0,3.3,11.0
25,18.5,45000.0,200.0,4.5,12.0
26,127.0,44000.0,240.0,4.3,14.0
27,109.0,43000.0,230.0,4.0,14.0
28,121.0,46000.0,250.0,4.2,14.0
29,91.0,46000.0,270.0,4.3,15.0
30,115.0,49000.0,300.0,5.0,16.0
31,118.0,51000.0,340.0,5.6,17.0
32,132.0,52000.0,360.0,5.8,18.0
33,128.0,53000.0,380.0,6.0,18.0
34,16.5,55000.0,350.0,6.75,18.5
35,24.0,56000.0,390.0,6.2,19.0
36,124.0,54000.0,400.0,6.5,19.0
37,117.0,58000.0,420.0,6.8,20.0
38,130.0,59000.0,430.0,6.9,20.0
39,116.0,57000.0,440.0,7.0,21.0
40,129.0,60000.0,450.0,7.2,20.0
41,131.5,61000.0,480.0,7.8,21.0
42,119.0,62000.0,520.0,8.2,23.0
43,125.0,63000.0,470.0,7.8,21.0
44,23.0,63000.0,460.0,7.5,21.0
45,128.0,65000.0,500.0,8.0,22.0
46,118.0,66000.0,510.0,8.1,22.0
47,26.0,67000.0,530.0,8.3,23.0
48,129.0,68000.0,550.0,8.5,24.0
49,126.0,69000.0,590.0,8.9,24.0
50,132.5,70000.0,600.0,9.0,25.0
51,123.0,71000.0,600.0,9.0,25.0
52,120.0,72000.0,610.0,9.2,26.0
53,39.0,73000.0,620.0,9.3,27.0
54,146.0,74000.0,630.0,9.4,27.0
55,120.0,75000.0,640.0,9.5,28.0
