householdid,productid,cartid,storeid,transactiontime,daydate,salesvalue,productdesc,productsubdesc,qty,displayadtypedesc,loyaltydiscount,coupondiscount,couponmatchdiscount
607,960942,28093043620,372,6:10 PM,Apr 4,1,CANNED JUICES,CRANBERRY JUICE (50% AND UNDER,1,Front Aisle,-1.69,0,0
607,990335,28601468074,432,9:18 PM,May 9,1.88,COLD CEREAL,ALL FAMILY CEREAL,1,Rear End Cap,-1.39,0,0
631,985160,27637491469,389,4:40 PM,Feb 25,3.99,HEAT/SERVE,ENTREES,1,Rear Aisle,-2,0,0
725,1098066,28572027686,400,6:50 PM,May 7,0.99,BAKED BREAD/BUNS/ROLLS,HOT DOG BUNS,1,Other Location Display,0,0,0
696,1101980,28364268284,31742,1:11 AM,Apr 27,5,CANNED JUICES,APPLE JUICE & CIDER (OVER 50%,3,Front End Cap,-2.17,0,0
715,1033615,28364345470,354,12:12 PM,Apr 26,0.99,REFRGRATD JUICES/DRNKS,DAIRY CASE FRUIT DRINKS (NO JU,1,Other Location Display,0,0,0
731,9527160,28867936983,329,3:42 PM,May 28,2.14,BAG SNACKS,POTATO CHIPS,1,Front Aisle,0,0,0
766,8090532,29183345822,322,1:18 PM,Jun 16,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,Rear Aisle,-2.09,0,0
764,13190340,32670850229,33923,9:22 AM,Jan 17,1,CANDY - PACKAGED,EASTER GIFTWARE/DECOR,1,In-Aisle,-0.29,0,0
768,845705,33656255064,323,6:28 AM,Mar 25,1.34,REFRGRATD DOUGH PRODUCTS,REFRIGERATED SPECILATY ROLLS,1,In-Aisle,-0.65,0,0
718,965378,31789445575,324,12:15 PM,Nov 19,2.07,COOKIES/CONES,CONES,1,Other Location Display,-0.22,0,0
788,994928,33293671495,360,6:35 PM,Mar 4,0.34,EGGS,EGGS - MEDIUM,1,Rear Aisle,-0.4,0,0
788,1095700,33293671495,360,6:35 PM,Mar 4,0.99,DINNER SAUSAGE,SMOKED/COOKED,1,Rear Aisle,-1,0,0
725,892008,33294305741,400,11:49 AM,Mar 5,2,MEAT - SHELF STABLE,PASTA: CANNED,2,Other Location Display,0,0,0
699,902167,31981155914,408,1:40 PM,Dec 4,1,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,1,Front End Cap,-0.29,0,0
696,1131550,40186373143,31742,8:55 PM,Jul 13,2,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,2,Other Location Display,-0.16,0,0
706,6703892,40739842583,343,2:48 PM,Aug 27,1,ORAL HYGIENE PRODUCTS,TOOTHPASTE,1,Front Aisle,0,0,0
718,15596515,34851302350,324,6:42 PM,May 24,1.49,COLD CEREAL,KIDS CEREAL,1,Front End Cap,-3.3,0,0
614,15926885,41259210830,288,1:52 PM,Sep 26,1.5,BAG SNACKS,BAGGED CHEESE SNACKS,1,Front End Cap,-0.99,0,0
630,923673,40436340683,306,12:03 PM,Aug 3,3,COLD CEREAL,ADULT CEREAL,2,Front End Cap,-2.84,0,0
764,954351,40556151442,33923,3:33 PM,Aug 12,1.59,FD WRAPS/BAGS/TRSH BG,COOKING BAGS,1,Rear Aisle,-0.1,0,0
699,893118,42198395172,408,9:08 AM,Dec 6,5,CHEESE,SHREDDED CHEESE,3,In-Aisle,-3.97,0,0
696,7410342,29311621182,31742,3:24 PM,Jun 25,2,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,2,Front End Cap,-0.58,0,0
718,1131974,30674067682,324,6:27 PM,Sep 2,1.31,BAKED BREAD/BUNS/ROLLS,DINNER ROLLS,1,In-Aisle,-0.08,0,0
718,950894,30033390448,324,10:51 AM,Jul 23,4,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,2,Rear Aisle,-2.78,0,0
718,1003616,32730776617,324,4:54 PM,Jan 22,5,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,2,In-Aisle,-2.38,0,0
771,849100,31735445973,359,1:40 PM,Nov 15,1.99,LAUNDRY DETERGENTS,LIQUID LAUNDRY DETERGENTS,1,Rear End Cap,-4,0,0
605,893018,33836741254,369,11:04 AM,Apr 7,2.29,CHEESE,IWS SINGLE CHEESE,1,Rear Aisle,-0.7,0,0
696,882830,33001846242,31742,3:34 PM,Feb 11,1,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,1,Rear End Cap,-0.29,0,0
699,5569845,33906032506,408,8:26 PM,Apr 10,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,In-Aisle,-2.19,0,0
761,1068719,40715626592,343,12:02 PM,Aug 25,1.89,SUGARS/SWEETNERS,SUGAR,1,Rear End Cap,-0.5,0,0
768,839753,35218781609,323,2:17 PM,Jun 1,0.2,SOUP,RAMEN NOODLES/RAMEN CUPS,2,Rear End Cap,-0.14,0,0
696,1126899,41382772069,31742,2:30 PM,Oct 5,4.58,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2,Front End Cap,0,0,0
786,989069,41259700232,339,8:30 AM,Sep 27,2.99,BREAKFAST SAUSAGE/SANDWICHES,LINKS - RAW,1,Rear Aisle,0,0,0
766,8090532,29095491344,322,5:25 PM,Jun 10,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,Rear Aisle,-2.09,0,0
696,12604354,30995690596,31742,11:36 AM,Sep 26,0.97,CHRISTMAS  SEASONAL,TREE STANDS,1,Rear End Cap,-0.32,0,0
718,9858748,31356350280,324,9:53 AM,Oct 23,0.34,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,Front Aisle,0,0,0
718,883404,29808137424,324,5:08 PM,Jul 20,2.42,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,2,Other Location Display,-0.16,0,0
786,1022956,32672220194,339,8:53 AM,Jan 19,0.82,ELECTRICAL SUPPPLIES,INSIDE FROST BULBS,1,Mid-Aisle End Cap,-0.27,0,0
696,849843,33848381786,31742,6:09 PM,Apr 8,2,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,2,In-Aisle,-0.58,0,0
725,883404,32931921346,400,2:08 PM,Feb 5,1.76,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,2,Side-Aisle End Cap,-0.82,0,0
718,859075,32932031931,324,5:51 PM,Feb 5,3.3,CHEESE,SHREDDED CHEESE,2,Other Location Display,-0.26,0,0
712,12132685,32956595711,448,12:36 PM,Feb 7,2,REFRGRATD DOUGH PRODUCTS,REFRIGERATED COOKIES-CHUB,1,In-Aisle,-1.19,0,0
718,859075,32957471270,324,2:04 PM,Feb 8,4.95,CHEESE,SHREDDED CHEESE,3,Other Location Display,-0.39,0,0
731,13007600,32305296792,445,4:16 PM,Dec 30,1,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,In-Aisle,-1.19,0,0
647,834117,33444726671,343,12:19 PM,Mar 16,3.79,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,1,Side-Aisle End Cap,-0.2,0,0
725,871756,33460950601,400,11:30 AM,Mar 18,3.15,SALD DRSNG/SNDWCH SPRD,SEMI-SOLID SALAD DRESSING MAY,1,Front End Cap,0,0,0
718,917384,40097931137,324,1:03 PM,Jul 6,11.99,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,1,Rear End Cap,-1.7,0,0
718,840601,40911911803,324,5:15 PM,Sep 10,1,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,1,In-Aisle,-0.39,0,0
647,7409874,34133781713,343,12:45 PM,Apr 27,2.75,BAG SNACKS,TORTILLA/NACHO CHIPS,1,In-Aisle,0,0,0
761,923673,40223306563,343,12:12 PM,Jul 16,1.5,COLD CEREAL,ADULT CEREAL,1,Front End Cap,-1.42,0,0
761,919534,41338486706,343,11:39 AM,Oct 2,2.74,REFRGRATD DOUGH PRODUCTS,REFRIGERATED SPECILATY ROLLS,3,In-Aisle,-3.03,-1.4,-1.4
761,5568378,41338486706,343,11:39 AM,Oct 2,2.75,BAG SNACKS,TORTILLA/NACHO CHIPS,1,In-Aisle,0,0,0
696,1126899,41351738516,31742,10:33 PM,Oct 3,4.58,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,2,Front End Cap,0,0,0
733,843306,40813480647,356,11:00 AM,Sep 2,1,FRUIT - SHELF STABLE,PINEAPPLE,1,In-Shelf,-0.49,0,0
718,1038217,40025940647,324,12:10 PM,Jun 30,1.29,CRACKERS/MISC BKD FD,SOUP CRACKERS (SALTINE/OYSTER),1,Front End Cap,-0.1,0,0
696,1126899,41310731603,31742,4:25 PM,Sep 30,2.29,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,1,Front End Cap,0,0,0
699,12302114,41310755143,408,8:34 AM,Sep 30,4.99,COLD AND FLU,COLD AND FLU,1,Side-Aisle End Cap,-2,0,0
768,914190,41310830359,323,9:08 AM,Sep 30,1,CHEESE,CREAM CHEESE,1,Other Location Display,-0.99,0,0
764,1104414,40899936099,33923,3:08 PM,Sep 9,1.88,CRACKERS/MISC BKD FD,SNACK CRACKERS,1,Rear Aisle,-1.21,0,0
661,937292,40900045393,330,9:18 AM,Sep 9,2.5,BACON,ECONOMY,1,Rear Aisle,-1.49,0,0
631,5585635,41756585890,389,12:48 PM,Nov 3,0.4,YOGURT,YOGURT NOT MULTI-PACKS,1,In-Aisle,0,0,0
740,1136361,41769831736,404,4:52 PM,Nov 4,1,AIR CARE,AIR CARE - AEROSOLS,1,Rear End Cap,-0.49,0,0
768,970119,41782610598,339,12:19 PM,Nov 5,1,MILK BY-PRODUCTS,COTTAGE CHEESE,1,Rear Aisle,-0.89,0,0
764,17215097,41865226936,33923,7:47 PM,Nov 11,3.33,HAIR CARE PRODUCTS,HAIR CONDITIONERS AND RINSES,1,Rear End Cap,-0.66,0,0
764,856252,41891251118,33923,4:06 PM,Nov 13,1.77,FROZEN PIZZA,SNACKS/APPETIZERS,1,Front End Cap,-0.92,0,0
706,1129822,28391836259,343,8:30 PM,Apr 28,0.5,CANDY - PACKAGED,CHEWING GUM,1,Front Aisle,-0.49,0,0
712,1051989,28093175416,448,10:35 AM,Apr 4,2.5,DINNER SAUSAGE,SMOKED/COOKED,1,Rear Aisle,-0.49,0,0
768,962229,31280850065,323,6:19 AM,Oct 18,1.25,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,In-Aisle,-1.34,0,0
725,1062782,28744795679,400,10:53 AM,May 18,1,PNT BTR/JELLY/JAMS,JELLY,1,Rear End Cap,-0.99,0,0
762,843911,28853526485,432,3:15 PM,May 27,2.51,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,1,Front End Cap,-1.68,0,0
696,12604396,30856995330,31742,10:37 AM,Sep 16,1,CHRISTMAS  SEASONAL,TREE STANDS,1,Rear Aisle,-0.29,0,0
712,1075214,28941240570,338,11:56 AM,Jun 1,5.99,BATH TISSUES,TOILET TISSUE,1,Front End Cap,-3,0,0
766,905059,30174299335,333,7:46 PM,Aug 10,1,SOAP - LIQUID & BAR,LIQUID SOAP,1,Rear End Cap,-0.99,0,0
692,826249,29157441914,335,3:48 PM,Jun 14,0.88,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,1,Other Location Display,-0.11,0,0
631,5582712,29183378122,380,5:56 PM,Jun 16,11.96,HEAT/SERVE,ENTREES,4,Rear Aisle,0,0,0
712,8291322,29392005371,448,10:39 AM,Jul 1,7,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,2,Other Location Display,-0.98,0,0
768,6464086,32670980054,323,6:20 AM,Jan 17,3.79,BACON,BETTER FOR YOU,2,Rear Aisle,-3.79,0,0
718,911311,31541887427,324,6:39 PM,Nov 4,2.27,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,1,Rear End Cap,-1.52,0,0
771,1061220,33155671235,359,1:08 PM,Feb 23,1,REFRGRATD DOUGH PRODUCTS,REFRIGERATED BISCUITS REGULAR,1,Side-Aisle End Cap,-0.18,0,0
755,13417249,32556728071,382,5:51 PM,Jan 11,3.49,CHIPS&SNACKS,SPECIALTY CHIPS (SOY CRISPS/PI,1,In-Aisle,0,0,0
771,1135768,40186702817,359,7:42 PM,Jul 13,1,ISOTONIC DRINKS,ISOTONIC DRINKS SINGLE SERVE,1,Front End Cap,0,0,0
715,937292,40941806882,415,2:38 PM,Sep 12,2.5,BACON,ECONOMY,1,Rear Aisle,-1.49,0,0
725,1130458,34762442629,400,7:03 PM,May 20,2,COLD CEREAL,KIDS CEREAL,1,Rear End Cap,-1.99,0,0
647,951590,40727767562,438,7:07 PM,Aug 26,2.29,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,In-Aisle,0,0,0
718,828143,41260042600,324,6:15 PM,Sep 27,1.99,CHEESE,MISCELLANEOUS CHEESE,1,Rear Aisle,0,0,0
715,9333437,40788797084,415,2:25 PM,Aug 31,4.99,FRZN MEAT/MEAT DINNERS,FRZN MULTI SERVE ENTREES ALL,1,Rear End Cap,-1.9,0,0
718,849843,35486477888,324,1:02 AM,Jun 9,1.2,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,1,Other Location Display,-0.09,0,0
696,8160319,41665721020,31742,2:23 PM,Oct 27,0.34,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,1,Other Location Display,-0.25,0,0
762,920002,41717196835,31862,5:45 PM,Oct 31,2,SOFT DRINKS,SOFT DRINKS 6PK/4PK CAN CARB (,1,In-Aisle,-0.59,0,0
761,8090485,41717748865,343,4:51 PM,Oct 31,19.99,BEERS/ALES,BEERALEMALT LIQUORS,1,Side-Aisle End Cap,0,0,0
680,999391,42136087049,424,4:22 PM,Dec 1,1,HOT CEREAL,STANDARD OATMEAL,1,Rear End Cap,-1.49,0,0
788,5569230,42153256099,360,4:41 PM,Dec 2,3,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,In-Aisle,-1.69,0,0
699,5585701,28081056776,408,6:11 PM,Apr 3,2.5,CHEESE,SHREDDED CHEESE,1,In-Aisle,-1.49,0,0
712,834117,28306105467,31742,11:02 AM,Apr 21,3.99,WATER - CARBONATED/FLVRD DRINK,NON-CRBNTD DRNKING/MNERAL WATE,1,In-Aisle,-1,0,0
647,905809,27853434280,438,11:09 PM,Mar 15,1.99,COCOA MIXES,MALTED MLK/SYRUP/PWDRS (EGGNOG,1,Side-Aisle End Cap,-0.4,0,0
718,976621,30054827652,324,5:00 PM,Aug 3,0.74,VEGETABLES - SHELF STABLE,MIXED VEGETABLES,1,In-Shelf,-0.05,0,0
715,981760,31316840662,354,1:17 PM,Oct 19,2,EGGS,EGGS - X-LARGE,2,Rear Aisle,-0.38,0,0
712,998558,31316965685,448,12:06 PM,Oct 19,2,MEAT - SHELF STABLE,CHILI: CANNED,2,In-Shelf,-1.08,0,0
766,1113274,30531303049,333,5:43 PM,Aug 21,5.5,PAPER TOWELS,PAPER TOWELS & HOLDERS,1,Front End Cap,-3.95,0,0
718,892920,31185086866,324,3:32 PM,Oct 11,2.96,VEGETABLES - SHELF STABLE,CORN,4,In-Shelf,-0.2,0,0
601,12385478,30531582020,32004,6:07 PM,Aug 22,2,POPCORN,POPCORN - MICROWAVE,1,Rear End Cap,-0.99,0,0
786,823704,31198020407,339,10:26 AM,Oct 12,2.5,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,1,Rear Aisle,-1.29,0,0
762,12599585,29578023417,391,8:38 PM,Jul 8,2.15,BAKED BREAD/BUNS/ROLLS,PREMIUM BREAD,1,In-Shelf,-0.24,0,0
647,990688,31225877868,438,5:42 PM,Oct 14,2.14,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,1,Front End Cap,-1.05,0,0
605,7410016,31058802312,369,7:56 PM,Oct 1,1,FRZN VEGETABLE/VEG DSH,FRZN BOXED VEGETABLES- VALUE A,1,Mid-Aisle End Cap,-0.39,0,0
768,915390,30743223455,323,6:59 PM,Sep 7,2,FROZEN PIE/DESSERTS,FROZEN FRUIT PIES  & COBBLERS,1,Front End Cap,-2.99,0,0
647,902396,31085440129,421,9:19 PM,Oct 3,2,PAPER HOUSEWARES,PLASTIC CUPS,1,In-Aisle,-1.19,0,0
779,5569230,31896049696,343,7:54 PM,Nov 27,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,1,Rear Aisle,-2.19,0,0
718,826249,32990282585,324,7:34 PM,Feb 10,1.2,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,1,Other Location Display,-0.09,0,0
788,12428216,40387436386,360,5:40 PM,Jul 29,1.99,REFRGRATD DOUGH PRODUCTS,REFRIGERATED COOKIES-SEASONAL,1,Rear Aisle,-1.1,0,0
761,1056509,41918202790,343,1:21 PM,Nov 15,1.99,MILK BY-PRODUCTS,COTTAGE CHEESE,1,In-Aisle,-0.35,0,0
761,5569471,41918202790,343,1:21 PM,Nov 15,5.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,2,In-Aisle,-3.88,0,0
768,1096036,42030696630,323,1:16 PM,Nov 23,1.25,CHEESE,IWS SINGLE CHEESE,1,In-Aisle,-0.61,0,0
622,883404,29095472840,298,7:53 PM,Jun 10,1.29,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,1,Other Location Display,0,0,0
630,1108094,31184764749,384,8:08 PM,Oct 11,11.99,BEERS/ALES,BEERALEMALT LIQUORS,1,In-Aisle,0,0,0
