Column1,householdid,productid,storeid,daydate,transactiontime,displayadtypedesc
0,696,1053672,31742,May 9,2:49 PM,Rear Aisle
1,788,5568721,360,Apr 15,10:11 AM,Other Location Display
2,607,931532,432,May 24,2:26 AM,Front Aisle
3,761,1123536,343,Jun 14,1:55 PM,In-Aisle
4,605,836635,369,Oct 29,9:09 PM,Mid-Aisle End Cap
5,718,988791,324,Oct 23,9:53 AM,Front End Cap
6,771,8014645,359,Sep 4,11:41 PM,In-Aisle
7,786,940947,339,Jan 19,8:53 AM,Other Location Display
8,788,873203,313,Feb 9,6:31 PM,In-Aisle
9,786,972665,339,Dec 30,8:29 AM,Other Location Display
10,630,994928,306,Feb 16,7:23 PM,In-Aisle
11,725,859075,400,Mar 18,11:30 AM,Other Location Display
12,764,10121965,33923,Apr 23,9:35 PM,Rear Aisle
13,696,987562,31742,Apr 24,3:31 PM,Other Location Display
14,768,915390,323,Jul 27,3:22 PM,Rear End Cap
15,733,1106523,356,Sep 2,11:00 AM,Other Location Display
16,786,878715,339,Sep 7,8:53 AM,Other Location Display
17,761,996087,343,Jun 29,3:43 PM,Side-Aisle End Cap
18,768,819255,343,Aug 15,1:54 PM,In-Aisle
19,647,925178,343,Nov 13,7:30 PM,In-Aisle
20,680,1035800,352,Oct 4,4:15 PM,Front Aisle
21,607,9527549,432,Jun 4,8:32 PM,Front Aisle
22,696,1126899,31742,Aug 14,9:24 PM,Front End Cap
23,699,940107,408,Aug 21,2:06 PM,In-Aisle
24,706,859010,343,Jul 14,4:43 PM,Other Location Display
25,718,973861,324,Nov 20,5:06 PM,Other Location Display
26,631,987562,389,Feb 4,3:02 PM,In-Aisle
27,696,962671,31742,Feb 5,5:49 PM,Front End Cap
28,718,996750,324,Mar 28,5:26 PM,Front End Cap
29,605,883404,369,Dec 23,11:41 AM,In-Aisle
30,740,942525,404,Apr 1,5:02 PM,Rear End Cap
31,740,1114597,404,Apr 1,5:02 PM,Front Aisle
32,718,883404,324,Mar 19,4:13 PM,Rear End Cap
33,715,1132280,389,May 22,5:58 PM,Rear Aisle
34,712,998558,448,Aug 1,10:59 AM,Other Location Display
35,761,914190,343,Jun 24,11:15 AM,In-Aisle
36,761,5585701,343,Jun 24,11:15 AM,In-Aisle
37,725,883404,400,Dec 4,3:04 PM,Other Location Display
38,718,857849,324,Mar 3,3:37 PM,Other Location Display
39,630,837107,306,May 29,6:55 PM,In-Aisle
40,768,871909,323,May 31,6:40 PM,Rear Aisle
41,733,1049434,356,Aug 10,4:34 PM,Side-Aisle End Cap
42,692,849843,335,Sep 21,4:33 PM,Side-Aisle End Cap
43,696,1066725,358,Jul 3,11:33 AM,In-Shelf
44,766,1105917,333,Sep 26,9:52 AM,In-Aisle
45,647,1084551,343,Jul 5,5:49 PM,In-Shelf
46,607,974108,372,Jul 6,9:08 PM,Front Aisle
47,766,981760,333,Oct 16,4:03 PM,In-Aisle
48,715,1022872,389,Mar 23,2:23 PM,Other Location Display
49,715,1115874,389,Mar 23,2:23 PM,Front Aisle
50,786,1107661,339,Nov 16,9:02 AM,In-Aisle
51,731,881607,438,Nov 18,4:08 PM,In-Aisle
52,741,871756,315,Mar 9,9:32 PM,Rear End Cap
53,786,972665,339,Jan 5,9:58 AM,Other Location Display
54,788,989069,313,Jan 6,2:18 PM,Rear Aisle
55,740,1039835,404,Oct 4,8:24 PM,Front End Cap
56,718,825731,324,Jun 4,3:11 PM,In-Aisle
57,630,987480,329,Nov 16,4:36 PM,In-Aisle
58,715,960942,389,Apr 6,11:08 AM,Rear End Cap
59,630,937343,306,Apr 26,4:58 PM,Front End Cap
60,696,9676858,31742,May 21,9:52 PM,Rear Aisle
61,718,1030819,327,Sep 14,4:08 PM,In-Shelf
62,661,1124729,427,Jun 10,11:11 PM,In-Aisle
63,718,991303,324,Sep 19,7:42 PM,Rear Aisle
64,706,8090532,384,Jun 14,8:31 PM,In-Aisle
65,718,833014,324,Jun 26,11:03 AM,Rear Aisle
66,647,951590,438,Oct 21,6:10 PM,In-Aisle
67,661,9884675,427,Jul 16,3:38 PM,In-Aisle
68,718,1110793,324,Oct 23,9:53 AM,Rear End Cap
69,762,1014802,31862,Nov 11,4:11 PM,Front End Cap
70,733,892008,356,Nov 27,12:22 PM,Front End Cap
71,762,823721,391,Apr 7,8:58 PM,In-Aisle
72,605,943141,369,Mar 7,1:14 PM,In-Aisle
73,771,1108094,424,Feb 16,1:21 PM,Side-Aisle End Cap
74,731,6533619,445,Dec 30,4:16 PM,Rear Aisle
75,718,8090537,324,Apr 22,8:16 PM,Rear Aisle
76,788,905539,318,May 14,5:36 PM,Other Location Display
77,706,919948,384,May 28,5:58 PM,Rear End Cap
78,725,999270,400,Jul 3,5:39 PM,In-Aisle
79,715,857849,389,Mar 12,12:49 PM,In-Aisle
80,706,9396772,384,May 1,4:48 PM,Front End Cap
81,718,883954,324,Mar 13,1:12 PM,Front Aisle
82,715,8158003,354,May 15,5:52 PM,Rear End Cap
83,718,999971,324,May 15,3:53 PM,Other Location Display
84,725,1053763,400,Jun 2,1:08 PM,Front End Cap
85,601,961458,32004,Aug 22,6:07 PM,Rear End Cap
86,788,12385342,313,Jul 9,11:20 AM,Rear End Cap
87,771,9553031,322,Sep 1,12:40 PM,In-Shelf
88,605,1029743,369,Nov 6,8:14 PM,Other Location Display
89,631,1043035,380,Nov 6,1:38 PM,Side-Aisle End Cap
90,718,859075,324,Nov 6,9:30 PM,Other Location Display
91,733,955288,356,Apr 13,3:53 PM,Rear End Cap
92,725,893501,400,Dec 11,2:16 PM,In-Aisle
93,718,845078,324,Mar 31,6:24 PM,In-Aisle
94,706,1115175,343,Jul 5,5:21 PM,Side-Aisle End Cap
95,712,904129,448,May 5,10:33 AM,Other Location Display
96,718,883404,324,Sep 12,5:37 PM,In-Aisle
97,696,851528,31742,Aug 3,5:49 PM,Front End Cap
98,786,972665,339,Jun 8,8:34 AM,Rear Aisle
99,797,945339,450,Aug 11,2:43 PM,In-Aisle
100,761,932863,343,Oct 28,11:37 AM,Front Aisle
101,680,15596705,424,Nov 28,7:38 PM,Rear End Cap
102,680,896369,424,Dec 1,4:22 PM,Rear End Cap
103,755,970119,388,Mar 5,5:25 PM,In-Aisle
104,718,10182813,324,Jul 3,11:07 AM,Rear End Cap
105,725,1098066,400,Oct 30,3:07 PM,In-Aisle
106,718,1071939,327,Sep 27,5:07 PM,In-Aisle
107,786,1127328,339,Jul 7,9:16 AM,Other Location Display
108,712,12132773,369,Sep 7,1:19 PM,Mid-Aisle End Cap
109,740,914190,404,Oct 3,2:36 PM,Side-Aisle End Cap
110,788,1022119,360,Nov 14,11:18 AM,Front End Cap
111,740,1134109,370,Jan 23,3:25 PM,In-Aisle
112,622,1032770,410,Nov 17,4:56 PM,Rear End Cap
113,718,12778374,324,Dec 6,6:45 PM,Front Aisle
114,786,981760,339,Jan 5,9:58 AM,Rear Aisle
115,630,15926886,306,Nov 18,9:35 AM,Side-Aisle End Cap
116,607,874736,372,Mar 17,7:01 PM,Other Location Display
117,788,985893,360,Oct 18,11:13 AM,Other Location Display
118,740,1065129,370,May 24,3:06 PM,Other Location Display
119,766,931671,322,May 24,2:16 PM,Front End Cap
120,712,1066252,448,Sep 19,12:54 PM,In-Aisle
121,647,1037340,343,Oct 12,6:31 PM,Rear Aisle
122,712,987624,369,Aug 25,12:01 PM,In-Aisle
123,766,1066462,333,Sep 3,8:06 PM,Front Aisle
124,607,994928,432,Dec 1,9:11 PM,Rear Aisle
125,712,7139529,448,Mar 13,11:02 AM,Other Location Display
126,725,883404,400,Apr 17,12:25 PM,In-Aisle
127,716,883404,400,Apr 15,11:44 AM,In-Aisle
128,771,896804,424,Feb 16,1:21 PM,Front End Cap
129,725,937276,400,Jul 18,4:07 PM,Rear Aisle
130,761,1103741,343,Aug 28,9:10 PM,In-Shelf
131,761,1041796,343,May 28,9:43 PM,Mid-Aisle End Cap
132,771,846114,293,Sep 2,11:34 AM,In-Aisle
133,768,916190,343,Aug 15,1:54 PM,Front End Cap
