householdid,couponcode,campaignid,productid,agegroup,maritalstatus,income,homeownerstatus,householdsize,householdminors,daydate
605,10000085361,8,828114,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,836090,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,853540,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,856252,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,867188,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,870211,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,884572,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,902167,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,902192,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,913490,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,917384,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,923746,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,924804,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,927030,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,934172,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,935284,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,945779,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,953320,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,977545,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,977854,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,981760,35-44,Married,35-49K,Homeowner,3,1,Mar 1
630,10000085364,8,985119,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,993441,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,994928,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,1005202,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,1005609,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,1009200,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1012873,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1024051,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1026209,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,1029743,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,1031087,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,1033615,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,1035143,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1035386,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1037417,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1045109,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1047226,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,1058997,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,1075074,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,1077555,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,1089025,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1096343,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,1106523,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,1113588,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1123720,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1125943,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,1126899,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,1127624,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1127838,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1128647,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,1130692,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,1133018,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,1134058,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,1138467,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,1139569,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,5564526,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,5564906,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,5567715,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,5587938,25-34,Married,75-99K,Homeowner,4,2,Mar 4
630,10000085364,8,5590287,35-44,Married,35-49K,Homeowner,3,1,Mar 1
605,10000085361,8,5995180,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,7099176,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,9420102,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,9672070,25-34,Married,75-99K,Homeowner,4,2,Mar 4
605,10000085361,8,10182813,25-34,Married,75-99K,Homeowner,4,2,Mar 4
725,10000085427,13,827047,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,827683,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,828114,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,51600070033,13,829001,65+,Married,50-74K,Homeowner,2,None/Unknown,Jun 30
725,10000085427,13,835278,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,835431,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,836090,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,845705,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,853540,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,854042,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,856252,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,857849,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,859075,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,867188,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,870211,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
755,52100040050,13,871756,35-44,Unknown,50-74K,Homeowner,1,None/Unknown,Jun 14
712,10000085426,13,874061,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,884572,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,890955,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
712,10000085426,13,891405,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,893018,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
712,10000085426,13,897125,65+,Married,50-74K,Homeowner,2,None/Unknown,May 24
725,10000085427,13,899229,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,902167,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,902192,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,913278,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
725,10000085427,13,913490,45-54,Unknown,25-34K,Unknown,1,None/Unknown,Jun 18
