householdid,productid,storeid,transactiontime,daydate,loyaltydiscount,coupondiscount,couponmatchdiscount,salesvalue,productdesc,productsubdesc,displayadtypedesc
731,9527160,329,3:42 PM,May 28,0,0,0,2.14,BAG SNACKS,POTATO CHIPS,Front Aisle
766,8090532,322,5:25 PM,Jun 10,-2.09,0,0,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,Rear Aisle
718,1131974,324,6:27 PM,Sep 2,-0.08,0,0,1.31,BAKED BREAD/BUNS/ROLLS,DINNER ROLLS,In-Aisle
718,950894,324,10:51 AM,Jul 23,-2.78,0,0,4,BREAKFAST SAUSAGE/SANDWICHES,ROLLS - PORK,Rear Aisle
786,1022956,339,8:53 AM,Jan 19,-0.27,0,0,0.82,ELECTRICAL SUPPPLIES,INSIDE FROST BULBS,Mid-Aisle End Cap
768,845705,323,6:28 AM,Mar 25,-0.65,0,0,1.34,REFRGRATD DOUGH PRODUCTS,REFRIGERATED SPECILATY ROLLS,In-Aisle
718,965378,324,12:15 PM,Nov 19,-0.22,0,0,2.07,COOKIES/CONES,CONES,Other Location Display
788,994928,360,6:35 PM,Mar 4,-0.4,0,0,0.34,EGGS,EGGS - MEDIUM,Rear Aisle
788,1095700,360,6:35 PM,Mar 4,-1,0,0,0.99,DINNER SAUSAGE,SMOKED/COOKED,Rear Aisle
725,892008,400,11:49 AM,Mar 5,0,0,0,2,MEAT - SHELF STABLE,PASTA: CANNED,Other Location Display
696,882830,31742,3:34 PM,Feb 11,-0.29,0,0,1,WAREHOUSE SNACKS,CANISTER POTATO/TORT CHIPS,Rear End Cap
699,5569845,408,8:26 PM,Apr 10,-2.19,0,0,2.5,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,In-Aisle
696,1131550,31742,8:55 PM,Jul 13,-0.16,0,0,2,FRZN BREAKFAST FOODS,WAFFLES/PANCAKES/FRENCH TOAST,Other Location Display
